date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:45:31	133/133	---MCZ	200	added ('OK')	text/plain	date:Thu,%2004%20Sep%202025%2018:51:39%20GMT	https://www.uogplc.com/robots.txt		(from )
02:45:31	178164/178164	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Sep%202025%2001:36:49%20GMT	https://www.uogplc.com/	C:/My%20Web%20Sites/https___www.uogplc.com_/reusssubsealtd.co.uk/index.html	(from )
02:45:32	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Fri,%2005%20Sep%202025%2001:45:33%20GMT	https://www.uogplc.com/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/https___www.uogplc.com_/www.uogplc.com/wp-admin/admin-ajax.php	(from https://www.uogplc.com/)
02:45:33	4401/4401	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2005%20Sep%202025%2001:45:34%20GMT	https://www.uogplc.com/wp-admin/admin-post.php	C:/My%20Web%20Sites/https___www.uogplc.com_/www.uogplc.com/wp-admin/admin-post.php	(from https://www.uogplc.com/)
02:45:33	92247/92247	---MCZ	200	added ('OK')	text/css	etag:W/%2267c9b290-16857%22	https://www.uogplc.com/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.15.1	C:/My%20Web%20Sites/https___www.uogplc.com_/www.uogplc.com/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit5829.css	(from https://www.uogplc.com/)
02:45:33	33597/33597	---MCZ	200	added ('OK')	text/css	etag:W/%2267c9b290-833d%22	https://www.uogplc.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helper.css?ver=6.5.0	C:/My%20Web%20Sites/https___www.uogplc.com_/www.uogplc.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helpere6df.css	(from https://www.uogplc.com/)
02:45:33	20670/20670	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22dbd438055432e88f5c045ace78433856%22	https://www.uogplc.com/feed/	C:/My%20Web%20Sites/https___www.uogplc.com_/www.uogplc.com/feed/index.html	(from https://www.uogplc.com/)
02:45:35	4885/4885	---MCZ	200	added ('OK')	text/css	etag:W/%226852a8f7-1315%22	http://www.uogplc.com/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/plus-extra-adv/plus-extra-adv.min.css?ver=1755614829	C:/My%20Web%20Sites/https___www.uogplc.com_/www.uogplc.com/wp-content/plugins/the-plus-addons-for-elementor-page-builder/assets/css/main/plus-extra-adv/plus-extra-adv.min4fee.css	(from https://www.uogplc.com/)
02:45:35	77441/77441	---MCZ	200	added ('OK')	text/css	etag:W/%2268518566-12e81%22	https://www.uogplc.com/wp-content/plugins/embedpress/assets/css/embedpress.css?ver=4.2.7	C:/My%20Web%20Sites/https___www.uogplc.com_/www.uogplc.com/wp-content/plugins/embedpress/assets/css/embedpress8ed1.css	(from https://www.uogplc.com/)
02:45:35	818/818	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22dbd438055432e88f5c045ace78433856%22	https://www.uogplc.com/comments/feed/	C:/My%20Web%20Sites/https___www.uogplc.com_/www.uogplc.com/comments/feed/index.html	(from https://www.uogplc.com/)
